Open,High,Low,Close,Volume,Adj Close
-12933.887332437334,-13842.675799071716,-11697.031687509138,-12118.323847515028,-57705076611.55186,91.1679
-12942.449595377871,-13851.826129313326,-11704.79067311978,-12126.36312219876,-57742188983.90492,91.1679
-12951.011858318412,-13860.976459554937,-11712.54965873042,-12134.402396882491,-57779301356.25797,91.1679
-12959.574121258953,-13870.126789796544,-11720.308644341058,-12142.44167156622,-57816413728.61103,91.1679
-12968.136384199492,-13879.277120038154,-11728.067629951696,-12150.480946249952,-57853526100.96409,91.1679
-12976.69864714003,-13888.427450279763,-11735.826615562337,-12158.520220933682,-57890638473.31715,91.1679
-12985.26091008057,-13897.577780521371,-11743.585601172976,-12166.559495617414,-57927750845.67021,91.1679
-12993.82317302111,-13906.728110762982,-11751.344586783616,-12174.598770301143,-57964863218.02327,91.1679
-13002.385435961649,-13915.878441004592,-11759.103572394257,-12182.638044984877,-58001975590.37633,91.1679
-13010.947698902188,-13925.0287712462,-11766.862558004894,-12190.677319668604,-58039087962.729385,91.1679
-13019.509961842728,-13934.17910148781,-11774.621543615533,-12198.716594352336,-58076200335.08244,91.1679
-13028.072224783267,-13943.32943172942,-11782.380529226171,-12206.755869036066,-58113312707.4355,91.1679
-13036.634487723806,-13952.47976197103,-11790.139514836814,-12214.795143719795,-58150425079.78856,91.1679
-13045.196750664349,-13961.63009221264,-11797.898500447453,-12222.834418403529,-58187537452.14162,91.1679
-13053.759013604886,-13970.78042245425,-11805.657486058091,-12230.873693087258,-58224649824.49468,91.1679
-13062.321276545425,-13979.93075269586,-11813.41647166873,-12238.912967770988,-58261762196.84774,91.1679
-13070.883539485963,-13989.08108293747,-11821.175457279369,-12246.95224245472,-58298874569.2008,91.1679
-13079.445802426504,-13998.23141317908,-11828.934442890011,-12254.99151713845,-58335986941.553856,91.1679
-13088.008065367045,-14007.381743420689,-11836.69342850065,-12263.03079182218,-58373099313.90691,91.1679
-13096.570328307582,-14016.532073662298,-11844.452414111289,-12271.07006650591,-58410211686.25997,91.1679
-13105.132591248122,-14025.682403903907,-11852.211399721928,-12279.109341189642,-58447324058.61304,91.1679
-13113.69485418866,-14034.832734145515,-11859.970385332566,-12287.148615873371,-58484436430.966095,91.1679
-13122.2571171292,-14043.983064387126,-11867.729370943203,-12295.187890557105,-58521548803.31915,91.1679
-13130.81938006974,-14053.133394628736,-11875.488356553848,-12303.227165240833,-58558661175.67221,91.1679
-13139.38164301028,-14062.283724870344,-11883.247342164486,-12311.266439924564,-58595773548.02527,91.1679
-13147.94390595082,-14071.434055111957,-11891.006327775123,-12319.305714608294,-58632885920.37833,91.1679
-13156.506168891356,-14080.584385353564,-11898.765313385764,-12327.344989292023,-58669998292.73138,91.1679
-13165.068431831898,-14089.734715595174,-11906.524298996404,-12335.384263975757,-58707110665.08445,91.1679
-13173.630694772435,-14098.885045836783,-11914.28328460704,-12343.423538659486,-58744223037.43751,91.1679
-13182.192957712976,-14108.035376078396,-11922.042270217684,-12351.462813343218,-58781335409.790565,91.1679
