Open,High,Low,Close,Volume,Adj Close
-17117.782131712458,-18821.63710760074,-14627.832755977415,-16791.115598458637,-261468960650.98395,90.51654
-17130.710502536815,-18835.696951546277,-14639.10868854572,-16803.831774255097,-261645123794.31635,90.51654
-17143.638873361167,-18849.7567954918,-14650.384621114028,-16816.547950051554,-261821286937.64868,90.51654
-17156.56724418552,-18863.816639437333,-14661.660553682332,-16829.26412584801,-261997450080.98108,90.51654
-17169.495615009873,-18877.87648338286,-14672.93648625064,-16841.980301644468,-262173613224.31345,90.51654
-17182.423985834226,-18891.936327328396,-14684.212418818945,-16854.696477440928,-262349776367.6458,90.51654
-17195.35235665858,-18905.99617127392,-14695.488351387246,-16867.412653237385,-262525939510.97812,90.51654
-17208.280727482936,-18920.05601521945,-14706.764283955554,-16880.12882903384,-262702102654.31052,90.51654
-17221.20909830729,-18934.11585916498,-14718.040216523856,-16892.845004830302,-262878265797.64288,90.51654
-17234.13746913164,-18948.17570311051,-14729.31614909216,-16905.56118062676,-263054428940.97528,90.51654
-17247.065839955994,-18962.23554705604,-14740.592081660468,-16918.277356423216,-263230592084.30768,90.51654
-17259.994210780347,-18976.29539100157,-14751.868014228772,-16930.993532219672,-263406755227.64,90.51654
-17272.9225816047,-18990.3552349471,-14763.14394679708,-16943.709708016133,-263582918370.9724,90.51654
-17285.850952429053,-19004.41507889263,-14774.419879365383,-16956.42588381259,-263759081514.30475,90.51654
-17298.77932325341,-19018.47492283816,-14785.695811933689,-16969.142059609047,-263935244657.63715,90.51654
-17311.707694077762,-19032.53476678369,-14796.971744501994,-16981.858235405507,-264111407800.96948,90.51654
-17324.636064902115,-19046.59461072922,-14808.247677070298,-16994.574411201964,-264287570944.30188,90.51654
-17337.56443572647,-19060.65445467475,-14819.523609638602,-17007.29058699842,-264463734087.63425,90.51654
-17350.49280655082,-19074.71429862028,-14830.799542206909,-17020.00676279488,-264639897230.9666,90.51654
-17363.421177375174,-19088.77414256581,-14842.075474775213,-17032.722938591338,-264816060374.29892,90.51654
-17376.349548199527,-19102.833986511338,-14853.35140734352,-17045.439114387795,-264992223517.63132,90.51654
-17389.277919023883,-19116.89383045687,-14864.627339911824,-17058.15529018425,-265168386660.96368,90.51654
-17402.206289848236,-19130.9536744024,-14875.903272480127,-17070.871465980712,-265344549804.29608,90.51654
-17415.13466067259,-19145.01351834793,-14887.179205048436,-17083.58764177717,-265520712947.62848,90.51654
-17428.063031496942,-19159.073362293457,-14898.455137616738,-17096.303817573626,-265696876090.9608,90.51654
-17440.991402321295,-19173.13320623899,-14909.731070185042,-17109.019993370086,-265873039234.2932,90.51654
-17453.919773145648,-19187.19305018452,-14921.00700275335,-17121.736169166543,-266049202377.62555,90.51654
-17466.848143970004,-19201.252894130048,-14932.282935321651,-17134.452344963,-266225365520.95795,90.51654
-17479.776514794357,-19215.312738075576,-14943.55886788996,-17147.168520759456,-266401528664.29028,90.51654
-17492.70488561871,-19229.372582021108,-14954.834800458264,-17159.884696555917,-266577691807.62268,90.51654
