Open,High,Low,Close,Volume,Adj Close
-4.18680915113595,-4.297339144754637,-3.304608103729063,-3.704612475885563,-59674069988.13694,0.15144551
-4.189815081237729,-4.300422471295383,-3.3070409665184632,-3.707310422177573,-59713041195.37654,0.15144551
-4.192821011339508,-4.30350579783613,-3.309473829307864,-3.710008368469582,-59752012402.61614,0.15144551
-4.195826941441286,-4.306589124376877,-3.311906692097264,-3.712706314761591,-59790983609.85574,0.15144551
-4.198832871543065,-4.309672450917623,-3.314339554886664,-3.7154042610536,-59829954817.09535,0.15144551
-4.201838801644843,-4.312755777458369,-3.316772417676064,-3.71810220734561,-59868926024.33494,0.15144551
-4.204844731746622,-4.315839103999116,-3.3192052804654644,-3.72080015363762,-59907897231.57454,0.15144551
-4.207850661848401,-4.318922430539862,-3.3216381432548645,-3.723498099929629,-59946868438.81414,0.15144551
-4.210856591950179,-4.322005757080609,-3.3240710060442646,-3.726196046221639,-59985839646.05374,0.15144551
-4.213862522051958,-4.325089083621355,-3.326503868833665,-3.728893992513648,-60024810853.293335,0.15144551
-4.2168684521537365,-4.328172410162102,-3.328936731623065,-3.731591938805657,-60063782060.532936,0.15144551
-4.219874382255515,-4.331255736702848,-3.331369594412465,-3.7342898850976662,-60102753267.77254,0.15144551
-4.222880312357294,-4.334339063243594,-3.333802457201865,-3.736987831389676,-60141724475.01214,0.15144551
-4.225886242459072,-4.337422389784341,-3.3362353199912653,-3.739685777681686,-60180695682.25174,0.15144551
-4.228892172560851,-4.340505716325088,-3.338668182780665,-3.742383723973696,-60219666889.49133,0.15144551
-4.23189810266263,-4.343589042865834,-3.3411010455700656,-3.745081670265704,-60258638096.73093,0.15144551
-4.234904032764408,-4.346672369406581,-3.3435339083594657,-3.7477796165577137,-60297609303.970535,0.15144551
-4.237909962866187,-4.349755695947327,-3.345966771148866,-3.7504775628497233,-60336580511.21014,0.15144551
-4.240915892967966,-4.352839022488073,-3.348399633938266,-3.753175509141733,-60375551718.44974,0.15144551
-4.243921823069744,-4.35592234902882,-3.3508324967276666,-3.7558734554337434,-60414522925.68933,0.15144551
-4.246927753171523,-4.359005675569566,-3.3532653595170667,-3.758571401725752,-60453494132.92893,0.15144551
-4.2499336832733015,-4.362089002110313,-3.355698222306467,-3.761269348017761,-60492465340.16853,0.15144551
-4.25293961337508,-4.36517232865106,-3.358131085095867,-3.7639672943097695,-60531436547.40813,0.15144551
-4.255945543476859,-4.368255655191806,-3.360563947885267,-3.76666524060178,-60570407754.647736,0.15144551
-4.258951473578637,-4.371338981732552,-3.3629968106746677,-3.7693631868937896,-60609378961.88733,0.15144551
-4.261957403680416,-4.3744223082732985,-3.3654296734640674,-3.772061133185799,-60648350169.12693,0.15144551
-4.264963333782195,-4.377505634814045,-3.3678625362534675,-3.7747590794778088,-60687321376.36653,0.15144551
-4.267969263883973,-4.380588961354792,-3.370295399042868,-3.7774570257698175,-60726292583.60613,0.15144551
-4.270975193985752,-4.383672287895538,-3.372728261832268,-3.780154972061827,-60765263790.845726,0.15144551
-4.2739811240875305,-4.386755614436285,-3.375161124621668,-3.7828529183538366,-60804234998.08533,0.15144551
