Open,High,Low,Close,Volume,Adj Close
-921.7295289189184,-984.4129268953168,-748.4918163985554,-850.2775328413044,-23363772531.328365,1.5992903
-922.3709416339605,-985.0954507937372,-749.0210050142292,-850.8731528780395,-23378963372.09054,1.5992903
-923.0123543490024,-985.777974692158,-749.550193629903,-851.4687729147747,-23394154212.85272,1.5992903
-923.6537670640444,-986.4604985905786,-750.0793822455768,-852.0643929515098,-23409345053.614902,1.5992903
-924.2951797790864,-987.1430224889992,-750.6085708612505,-852.660012988245,-23424535894.377083,1.5992903
-924.9365924941284,-987.82554638742,-751.1377594769243,-853.2556330249802,-23439726735.139263,1.5992903
-925.5780052091704,-988.5080702858404,-751.6669480925981,-853.8512530617153,-23454917575.901443,1.5992903
-926.2194179242124,-989.1905941842614,-752.1961367082719,-854.4468730984504,-23470108416.663624,1.5992903
-926.8608306392543,-989.873118082682,-752.7253253239456,-855.0424931351856,-23485299257.425804,1.5992903
-927.5022433542964,-990.5556419811028,-753.2545139396194,-855.6381131719207,-23500490098.187984,1.5992903
-928.1436560693384,-991.2381658795232,-753.7837025552932,-856.2337332086558,-23515680938.950165,1.5992903
-928.7850687843804,-991.920689777944,-754.312891170967,-856.8293532453911,-23530871779.712345,1.5992903
-929.4264814994224,-992.6032136763646,-754.8420797866407,-857.4249732821262,-23546062620.474525,1.5992903
-930.0678942144644,-993.2857375747852,-755.3712684023145,-858.0205933188613,-23561253461.236706,1.5992903
-930.7093069295064,-993.968261473206,-755.9004570179882,-858.6162133555965,-23576444301.998886,1.5992903
-931.3507196445483,-994.6507853716264,-756.429645633662,-859.2118333923316,-23591635142.761063,1.5992903
-931.9921323595904,-995.3333092700472,-756.9588342493357,-859.8074534290668,-23606825983.523247,1.5992903
-932.6335450746324,-996.015833168468,-757.4880228650095,-860.403073465802,-23622016824.285427,1.5992903
-933.2749577896744,-996.6983570668888,-758.0172114806833,-860.9986935025371,-23637207665.047607,1.5992903
-933.9163705047164,-997.3808809653092,-758.546400096357,-861.5943135392722,-23652398505.809788,1.5992903
-934.5577832197584,-998.06340486373,-759.0755887120308,-862.1899335760074,-23667589346.571968,1.5992903
-935.1991959348004,-998.7459287621506,-759.6047773277046,-862.7855536127425,-23682780187.33415,1.5992903
-935.8406086498424,-999.4284526605712,-760.1339659433784,-863.3811736494778,-23697971028.09633,1.5992903
-936.4820213648844,-1000.110976558992,-760.6631545590521,-863.9767936862129,-23713161868.85851,1.5992903
-937.1234340799264,-1000.7935004574124,-761.1923431747259,-864.572413722948,-23728352709.62069,1.5992903
-937.7648467949684,-1001.4760243558331,-761.7215317903997,-865.1680337596832,-23743543550.38287,1.5992903
-938.4062595100104,-1002.1585482542538,-762.2507204060735,-865.7636537964183,-23758734391.14505,1.5992903
-939.0476722250525,-1002.8410721526744,-762.7799090217472,-866.3592738331535,-23773925231.90723,1.5992903
-939.6890849400944,-1003.5235960510952,-763.309097637421,-866.9548938698887,-23789116072.66941,1.5992903
-940.3304976551362,-1004.206119949516,-763.8382862530948,-867.5505139066238,-23804306913.43159,1.5992903
