Open,High,Low,Close,Volume,Adj Close
-787.6494683254014,-783.5966153143065,-810.0861195135343,-779.5652408779481,133425903.2406377,6.823615
-788.5505651251224,-784.4949113234086,-811.0062597640405,-780.4582619830769,133545661.26065996,6.823615
-789.4516619248434,-785.3932073325104,-811.9264000145466,-781.3512830882056,133665419.2806822,6.823615
-790.3527587245646,-786.2915033416123,-812.8465402650529,-782.2443041933344,133785177.30070443,6.823615
-791.2538555242857,-787.1897993507141,-813.7666805155591,-783.1373252984631,133904935.3207267,6.823615
-792.1549523240067,-788.0880953598162,-814.6868207660652,-784.0303464035919,134024693.34074894,6.823615
-793.0560491237277,-788.986391368918,-815.6069610165715,-784.9233675087206,134144451.36077118,6.823615
-793.9571459234487,-789.8846873780199,-816.5271012670777,-785.8163886138493,134264209.38079342,6.823615
-794.8582427231697,-790.7829833871219,-817.4472415175838,-786.7094097189781,134383967.4008157,6.823615
-795.7593395228907,-791.6812793962238,-818.3673817680901,-787.6024308241068,134503725.42083794,6.823615
-796.6604363226118,-792.5795754053256,-819.2875220185963,-788.4954519292356,134623483.44086018,6.823615
-797.561533122333,-793.4778714144277,-820.2076622691025,-789.3884730343643,134743241.46088243,6.823615
-798.462629922054,-794.3761674235295,-821.1278025196087,-790.2814941394931,134862999.48090467,6.823615
-799.363726721775,-795.2744634326314,-822.0479427701149,-791.1745152446218,134982757.5009269,6.823615
-800.264823521496,-796.1727594417332,-822.9680830206211,-792.0675363497505,135102515.52094916,6.823615
-801.1659203212171,-797.0710554508353,-823.8882232711273,-792.9605574548793,135222273.5409714,6.823615
-802.0670171209381,-797.9693514599371,-824.8083635216335,-793.853578560008,135342031.56099367,6.823615
-802.9681139206591,-798.867647469039,-825.7285037721397,-794.7465996651368,135461789.5810159,6.823615
-803.8692107203801,-799.765943478141,-826.648644022646,-795.6396207702655,135581547.60103816,6.823615
-804.7703075201011,-800.6642394872429,-827.5687842731521,-796.5326418753943,135701305.6210604,6.823615
-805.6714043198224,-801.5625354963447,-828.4889245236583,-797.425662980523,135821063.64108264,6.823615
-806.5725011195434,-802.4608315054468,-829.4090647741644,-798.3186840856517,135940821.6611049,6.823615
-807.4735979192644,-803.3591275145486,-830.3292050246708,-799.2117051907805,136060579.68112713,6.823615
-808.3746947189854,-804.2574235236505,-831.249345275177,-800.1047262959092,136180337.70114937,6.823615
-809.2757915187065,-805.1557195327525,-832.1694855256832,-800.997747401038,136300095.72117162,6.823615
-810.1768883184275,-806.0540155418544,-833.0896257761893,-801.8907685061668,136419853.7411939,6.823615
-811.0779851181485,-806.9523115509562,-834.0097660266955,-802.7837896112956,136539611.76121613,6.823615
-811.9790819178695,-807.850607560058,-834.9299062772017,-803.6768107164243,136659369.78123838,6.823615
-812.8801787175905,-808.7489035691601,-835.8500465277081,-804.569831821553,136779127.80126062,6.823615
-813.7812755173118,-809.647199578262,-836.7701867782142,-805.4628529266818,136898885.82128286,6.823615
