Open,High,Low,Close,Volume,Adj Close
-404916.1461624026,-405235.44532988034,-377265.5752085649,-381851.20008950913,-389874995936.7679,246.80487
-405215.098935449,-405535.4104108731,-377545.7233679782,-382135.38720974687,-390144052767.5216,246.80487
-405514.0517084955,-405835.3754918659,-377825.8715273914,-382419.5743299846,-390413109598.2753,246.80487
-405813.00448154187,-406135.3405728586,-378106.0196868047,-382703.7614502224,-390682166429.02905,246.80487
-406111.9572545883,-406435.3056538514,-378386.16784621787,-382987.9485704602,-390951223259.7828,246.80487
-406410.9100276348,-406735.2707348442,-378666.3160056311,-383272.13569069793,-391220280090.5365,246.80487
-406709.8628006812,-407035.235815837,-378946.4641650444,-383556.3228109357,-391489336921.2902,246.80487
-407008.81557372765,-407335.2008968297,-379226.6123244576,-383840.5099311734,-391758393752.044,246.80487
-407307.7683467741,-407635.1659778225,-379506.7604838708,-384124.69705141126,-392027450582.79767,246.80487
-407606.72111982055,-407935.1310588153,-379786.90864328406,-384408.884171649,-392296507413.5514,246.80487
-407905.673892867,-408235.09613980807,-380067.0568026973,-384693.07129188674,-392565564244.3051,246.80487
-408204.62666591344,-408535.0612208008,-380347.20496211055,-384977.2584121245,-392834621075.0589,246.80487
-408503.57943895983,-408835.0263017936,-380627.3531215238,-385261.4455323622,-393103677905.81256,246.80487
-408802.5322120063,-409134.9913827864,-380907.501280937,-385545.63265260006,-393372734736.5663,246.80487
-409101.4849850527,-409434.9564637792,-381187.64944035024,-385829.8197728378,-393641791567.32,246.80487
-409400.4377580992,-409734.9215447719,-381467.7975997635,-386114.00689307554,-393910848398.0737,246.80487
-409699.3905311456,-410034.8866257647,-381747.9457591768,-386398.1940133133,-394179905228.82745,246.80487
-409998.34330419207,-410334.85170675744,-382028.09391859,-386682.3811335511,-394448962059.5812,246.80487
-410297.2960772385,-410634.8167877502,-382308.2420780032,-386966.56825378886,-394718018890.33496,246.80487
-410596.24885028496,-410934.78186874295,-382588.3902374164,-387250.7553740266,-394987075721.0887,246.80487
-410895.2016233314,-411234.7469497357,-382868.5383968297,-387534.94249426434,-395256132551.8424,246.80487
-411194.1543963778,-411534.7120307285,-383148.6865562429,-387819.1296145022,-395525189382.5961,246.80487
-411493.1071694242,-411834.6771117213,-383428.8347156561,-388103.3167347399,-395794246213.34985,246.80487
-411792.0599424707,-412134.642192714,-383708.98287506937,-388387.50385497767,-396063303044.1036,246.80487
-412091.01271551714,-412434.6072737068,-383989.1310344826,-388671.6909752154,-396332359874.8573,246.80487
-412389.9654885636,-412734.5723546996,-384269.2791938959,-388955.87809545314,-396601416705.611,246.80487
-412688.91826161,-413034.5374356924,-384549.4273533091,-389240.065215691,-396870473536.3648,246.80487
-412987.8710346565,-413334.5025166851,-384829.5755127223,-389524.25233592873,-397139530367.11847,246.80487
-413286.8238077029,-413634.4675976779,-385109.7236721356,-389808.43945616647,-397408587197.8722,246.80487
-413585.77658074937,-413934.4326786707,-385389.8718315488,-390092.6265764042,-397677644028.6259,246.80487
